model,step,epoch,metric,value
babyB-v1,170,0.6261510128913443,train_loss,2.4136
babyB-v1,180,0.6629834254143646,train_loss,2.4133
babyB-v1,190,0.6998158379373849,train_loss,2.3517
babyB-v1,200,0.7366482504604052,train_loss,2.2688
babyB-v1,210,0.7734806629834254,train_loss,2.2101
babyB-v1,220,0.8103130755064457,train_loss,2.2132
babyB-v1,230,0.8471454880294659,train_loss,2.2559
babyB-v1,240,0.8839779005524862,train_loss,2.1722
babyB-v1,250,0.9208103130755064,train_loss,2.0224
babyB-v1,260,0.9576427255985267,train_loss,1.9821
babyB-v1,270,0.994475138121547,train_loss,2.1008
babyB-v1,272,1.0,eval_loss,2.0074949264526367
babyB-v1,280,1.0294659300184161,train_loss,2.0726
babyB-v1,290,1.0662983425414365,train_loss,1.9657
babyB-v1,300,1.1031307550644567,train_loss,2.0409
babyB-v1,310,1.139963167587477,train_loss,1.9588
babyB-v1,320,1.1767955801104972,train_loss,1.9636
babyB-v1,330,1.2136279926335174,train_loss,1.8899
babyB-v1,340,1.2504604051565378,train_loss,1.9005
babyB-v1,350,1.287292817679558,train_loss,1.853
babyB-v1,360,1.3241252302025783,train_loss,1.8438
babyB-v1,370,1.3609576427255985,train_loss,1.8482
babyB-v1,380,1.3977900552486187,train_loss,1.7813
babyB-v1,390,1.434622467771639,train_loss,1.7588
babyB-v1,400,1.4714548802946594,train_loss,1.7945
babyB-v1,410,1.5082872928176796,train_loss,1.6674
babyB-v1,420,1.5451197053406998,train_loss,1.6823
babyB-v1,430,1.58195211786372,train_loss,1.7579
babyB-v1,440,1.6187845303867403,train_loss,1.6365
babyB-v1,450,1.6556169429097607,train_loss,1.7578
babyB-v1,460,1.6924493554327809,train_loss,1.6989
babyB-v1,470,1.729281767955801,train_loss,1.6065
babyB-v1,480,1.7661141804788214,train_loss,1.6836
babyB-v1,490,1.8029465930018416,train_loss,1.6592
babyB-v1,500,1.839779005524862,train_loss,1.6372
babyB-v1,510,1.8766114180478821,train_loss,1.6904
babyB-v1,520,1.9134438305709023,train_loss,1.6167
babyB-v1,530,1.9502762430939227,train_loss,1.5892
babyB-v1,540,1.987108655616943,train_loss,1.693
babyB-v1,544,2.0,eval_loss,1.5794732570648193
babyB-v1,550,2.022099447513812,train_loss,1.6459
babyB-v1,560,2.0589318600368323,train_loss,1.5327
babyB-v1,570,2.095764272559853,train_loss,1.6626
babyB-v1,580,2.132596685082873,train_loss,1.5751
babyB-v1,590,2.169429097605893,train_loss,1.5361
babyB-v1,600,2.2062615101289134,train_loss,1.5878
babyB-v1,610,2.2430939226519335,train_loss,1.6174
babyB-v1,620,2.279926335174954,train_loss,1.5651
babyB-v1,630,2.3167587476979743,train_loss,1.5176
babyB-v1,640,2.3535911602209945,train_loss,1.4531
babyB-v1,650,2.3904235727440146,train_loss,1.5978
babyB-v1,660,2.427255985267035,train_loss,1.5127
babyB-v1,670,2.4640883977900554,train_loss,1.536
babyB-v1,680,2.5009208103130756,train_loss,1.4923
babyB-v1,690,2.5377532228360957,train_loss,1.4468
babyB-v1,700,2.574585635359116,train_loss,1.4799
babyB-v1,710,2.611418047882136,train_loss,1.6187
babyB-v1,720,2.6482504604051567,train_loss,1.465
babyB-v1,730,2.685082872928177,train_loss,1.4711
babyB-v1,740,2.721915285451197,train_loss,1.3954
babyB-v1,750,2.758747697974217,train_loss,1.4947
babyB-v1,760,2.7955801104972373,train_loss,1.5249
babyB-v1,770,2.832412523020258,train_loss,1.4674
babyB-v1,780,2.869244935543278,train_loss,1.4476
babyB-v1,790,2.9060773480662982,train_loss,1.3998
babyB-v1,800,2.942909760589319,train_loss,1.4683
babyB-v1,810,2.979742173112339,train_loss,1.4681
babyB-v1,816,3.0,eval_loss,1.4563320875167847
babyA-v15-dsl-3,10,0.044518642181413465,train_loss,7.9967
babyA-v15-dsl-3,20,0.08903728436282693,train_loss,7.1536
babyA-v15-dsl-3,30,0.1335559265442404,train_loss,6.72
babyA-v15-dsl-3,40,0.17807456872565386,train_loss,6.4778
babyA-v15-dsl-3,50,0.22259321090706732,train_loss,6.2213
babyA-v15-dsl-3,60,0.2671118530884808,train_loss,5.9936
babyA-v15-dsl-3,70,0.3116304952698943,train_loss,5.916
babyA-v15-dsl-3,80,0.3561491374513077,train_loss,5.7251
babyA-v15-dsl-3,90,0.4006677796327212,train_loss,5.6297
babyA-v15-dsl-3,100,0.44518642181413465,train_loss,5.5193
babyA-v15-dsl-3,110,0.48970506399554814,train_loss,5.3969
babyA-v15-dsl-3,120,0.5342237061769616,train_loss,5.2547
babyA-v15-dsl-3,130,0.5787423483583751,train_loss,5.177
babyA-v15-dsl-3,140,0.6232609905397886,train_loss,5.0636
babyA-v15-dsl-3,150,0.667779632721202,train_loss,4.9978
babyA-v15-dsl-3,160,0.7122982749026154,train_loss,4.846
babyA-v15-dsl-3,170,0.756816917084029,train_loss,4.8609
babyA-v15-dsl-3,180,0.8013355592654424,train_loss,4.7378
babyA-v15-dsl-3,190,0.8458542014468559,train_loss,4.7144
babyA-v15-dsl-3,200,0.8903728436282693,train_loss,4.6418
babyA-v15-dsl-3,210,0.9348914858096828,train_loss,4.5636
babyA-v15-dsl-3,220,0.9794101279910963,train_loss,4.5089
babyA-v15-dsl-3,225,1.0,eval_loss,4.3288702964782715
babyA-v15-dsl-3,230,1.0222593210907067,train_loss,4.4903
babyA-v15-dsl-3,240,1.0667779632721202,train_loss,4.3925
