model,eval_set,tool,n,parse_rate,function_accuracy,argument_exact_match,tool_call_exact_match
functiongemma:270m,eval,create_calendar_event,214,0.9813084112149533,0.6214953271028038,0.49065420560747663,0.49065420560747663
functiongemma:270m,eval,create_contact,182,0.989010989010989,0.7032967032967034,0.17032967032967034,0.17032967032967034
functiongemma:270m,eval,open_wifi_settings,107,1.0,0.8785046728971962,0.9345794392523364,0.8785046728971962
functiongemma:270m,eval,send_email,134,1.0,0.5298507462686567,0.291044776119403,0.291044776119403
functiongemma:270m,eval,show_map,148,0.918918918918919,0.6283783783783784,0.30405405405405406,0.30405405405405406
functiongemma:270m,eval,turn_off_flashlight,91,1.0,0.978021978021978,1.0,0.978021978021978
functiongemma:270m,eval,turn_on_flashlight,85,1.0,0.8705882352941177,0.9294117647058824,0.8705882352941177
